Date,Market_Return,Market_Volatility,Avg_Correlation,State,State_Name,Regime
2023-11-02,0.014545969995931754,0.02489349185288371,0.21806845767436503,2,State_2,Calm
2023-11-03,0.036569652223684884,0.026595261581154377,0.23426052660762395,2,State_2,Calm
2023-11-06,-0.005666337551241481,0.026736676549396005,0.22990947755041533,2,State_2,Calm
2023-11-07,0.021191687949888363,0.028440617130314882,0.22405321535975775,2,State_2,Calm
2023-11-08,-0.01862824015665229,0.028627225637599747,0.22607587851715996,2,State_2,Calm
2023-11-09,-0.031730104123230365,0.02921103631798351,0.24686206840318073,2,State_2,Calm
2023-11-10,0.0017861554681487413,0.029188382242430224,0.24849348036778882,2,State_2,Calm
2023-11-13,0.0010094989577460027,0.029058592268827337,0.24786091395276888,2,State_2,Calm
2023-11-14,0.027620290236384328,0.029670277158694722,0.25767256839865177,2,State_2,Calm
2023-11-15,0.004764534268604215,0.02973086896193542,0.2559383901752672,2,State_2,Calm
2023-11-16,-0.004468274116796521,0.029705701183268866,0.2553536421855826,2,State_2,Calm
2023-11-17,0.015334929666227994,0.029980750301137442,0.2497721083845027,2,State_2,Calm
2023-11-20,0.008311830476214192,0.029994802294836444,0.25047964901271075,2,State_2,Calm
2023-11-21,-0.006333569635098562,0.030150603627612738,0.2465502993781083,2,State_2,Calm
2023-11-22,0.0030959875634282664,0.029891916035944162,0.24367512210816997,2,State_2,Calm
2023-11-24,0.011281627006785852,0.02958855970604847,0.24631564968318456,2,State_2,Calm
2023-11-27,-0.00788091505722442,0.029470687966974562,0.24818838177618965,2,State_2,Calm
2023-11-28,-0.0024805651552828926,0.02916088649716097,0.2459547594200241,2,State_2,Calm
2023-11-29,0.01275721245192464,0.02945701632243373,0.24300253053311233,2,State_2,Calm
2023-11-30,0.003919070472538205,0.02904147202050887,0.2459492787864755,2,State_2,Calm
2023-12-01,0.018209049181299848,0.02922366506559773,0.24892379507560944,2,State_2,Calm
2023-12-04,0.010661695151431163,0.029191196159543617,0.25197576411346917,2,State_2,Calm
