Ticker1,Ticker2,GNNSimilarity,EmbeddingDistance,WasTrained,ActualPnL,ActualWinRate,ActualTrades
TMO,UNH,0.20716160535812378,0.15290655195713043,False,,,
IHI,JNJ,0.20598137378692627,0.14112788438796997,False,,,
ACAD,IHF,0.20256054401397705,0.1088477373123169,True,9.29817755804346,94.73684210526316,19.0
MRNA,XBI,0.20007546246051788,1.5717661380767822,False,,,
IHF,TMO,0.19041557610034943,0.12002073228359222,True,12.187313481893096,100.0,36.0
ACAD,IHI,0.19029830396175385,0.12558741867542267,False,,,
ALGN,MRK,0.18891534209251404,0.23109687864780426,False,,,
INCY,VEEV,0.1870296448469162,0.32788732647895813,False,,,
IHI,TMO,0.18290340900421143,0.09396405518054962,False,,,
ACAD,ALGN,0.18162962794303894,0.1269920915365219,False,,,
MRK,TMO,0.17932036519050598,0.12565916776657104,False,,,
ACAD,MRK,0.17839685082435608,0.19841884076595306,False,,,
ALGN,JNJ,0.17759940028190613,0.24433261156082153,False,,,
PFE,VEEV,0.17535842955112457,0.32859987020492554,False,,,
JNJ,TMO,0.1707044094800949,0.12916231155395508,False,,,
AZN,XBI,0.1682940125465393,2.7952208518981934,False,,,
ACAD,JNJ,0.16755783557891846,0.21144463121891022,False,,,
ALGN,TMO,0.1674974113702774,0.15052780508995056,False,,,
UNH,VEEV,0.16503563523292542,0.295910507440567,False,,,
IHF,VEEV,0.15792933106422424,0.24353259801864624,False,,,
ACAD,TMO,0.15451867878437042,0.11637597531080246,False,,,
IHI,VEEV,0.1525258719921112,0.22251948714256287,False,,,
ALGN,VEEV,0.1520003378391266,0.18325774371623993,False,,,
ACAD,VEEV,0.1324617564678192,0.19387583434581757,False,,,
MRK,VEEV,0.131058007478714,0.30371955037117004,False,,,
AMGN,XBI,0.12961164116859436,2.4507410526275635,False,,,
INCY,RXL,0.1265110969543457,0.38623639941215515,False,,,
PFE,RXL,0.1259598582983017,0.3569403290748596,False,,,
PFE,XLV,0.12531617283821106,0.3642551004886627,False,,,
JNJ,VEEV,0.12206555157899857,0.306416779756546,False,,,
INCY,XLV,0.12148939818143845,0.40399259328842163,False,,,
TMO,VEEV,0.12045440077781677,0.19967417418956757,False,,,
RXL,UNH,0.11721264570951462,0.3222426772117615,False,,,
UNH,XLV,0.114850714802742,0.33548811078071594,False,,,
PFE,VHT,0.10660532116889954,0.39535126090049744,False,,,
MRK,XLV,0.1065705195069313,0.2565930485725403,False,,,
IHF,RXL,0.10656914860010147,0.28750625252723694,False,,,
MRK,RXL,0.10455302894115448,0.25668448209762573,False,,,
JNJ,XLV,0.10321672260761261,0.23708294332027435,False,,,
INCY,VHT,0.10277654230594635,0.4322439134120941,False,,,
IHF,XLV,0.10272608697414398,0.30713844299316406,False,,,
